epoch	loss	acc	val_loss	val_acc
0	1.735874	0.368575	1.375046	0.511900
1	1.355958	0.509700	1.229003	0.563600
2	1.221413	0.565275	1.075737	0.625900
3	1.121004	0.599475	1.037344	0.635900
4	1.040502	0.629175	0.956207	0.669000
5	0.981405	0.652450	0.902853	0.685000
6	0.930526	0.672425	0.906416	0.687200
7	0.901449	0.681175	0.885925	0.694900
8	0.851517	0.699025	0.837039	0.709300
9	0.828124	0.709600	0.812038	0.717000
10	0.793106	0.716875	0.789989	0.730700
11	0.763796	0.732875	0.789658	0.729000
12	0.739391	0.738450	0.770467	0.737200
13	0.712554	0.749125	0.778034	0.735400
14	0.690818	0.755825	0.746579	0.744900
15	0.674986	0.761750	0.759105	0.744100
16	0.644670	0.770075	0.750423	0.741700
17	0.633638	0.773825	0.756611	0.743300
18	0.610224	0.781500	0.760200	0.741000
19	0.590322	0.789400	0.735597	0.750100
20	0.585125	0.790250	0.754623	0.747700
21	0.566128	0.796500	0.741081	0.749600
22	0.553801	0.801775	0.749570	0.752200
23	0.533390	0.808150	0.747722	0.755900
24	0.519687	0.815800	0.761531	0.750700
25	0.512688	0.817950	0.736479	0.754700
26	0.496652	0.822125	0.750603	0.753500
27	0.494125	0.824025	0.748810	0.753400
28	0.479108	0.826775	0.754633	0.756300
29	0.469884	0.829850	0.747334	0.756100
