epoch	loss	acc	val_loss	val_acc
0	1.950232	0.288480	1.728697	0.383200
1	1.775199	0.359980	1.667985	0.399100
2	1.720915	0.378560	1.618175	0.421900
3	1.666752	0.399060	1.596082	0.429300
4	1.637401	0.410580	1.571709	0.438300
5	1.600916	0.423500	1.523375	0.449700
6	1.573163	0.433060	1.498441	0.469800
7	1.556644	0.442040	1.485363	0.468700
8	1.532050	0.450400	1.484424	0.473800
9	1.518447	0.455260	1.467471	0.475400
10	1.509108	0.455660	1.496758	0.465700
11	1.487630	0.463180	1.462461	0.476400
12	1.475664	0.470200	1.449783	0.481800
13	1.462193	0.474880	1.435193	0.486100
14	1.450339	0.478660	1.429284	0.493700
15	1.439066	0.480740	1.427408	0.488200
16	1.428285	0.488020	1.435395	0.494000
17	1.408469	0.495480	1.412614	0.500900
18	1.398106	0.498400	1.400467	0.502600
19	1.398728	0.497860	1.392366	0.507500
20	1.386969	0.497700	1.415953	0.501000
21	1.373195	0.507080	1.423571	0.489000
22	1.366324	0.508500	1.383288	0.507900
23	1.363941	0.510120	1.402431	0.501600
24	1.352915	0.511700	1.388806	0.509900
25	1.342232	0.514840	1.373787	0.514700
26	1.330305	0.522500	1.414185	0.499700
27	1.322735	0.525780	1.378057	0.514000
28	1.318863	0.521860	1.406066	0.498900
29	1.315512	0.526040	1.379602	0.513500
