epoch	loss	acc	val_loss	val_acc
0	1.999050	0.263100	1.825105	0.339000
1	1.837363	0.334500	1.713623	0.386900
2	1.776952	0.357760	1.690443	0.387900
3	1.729217	0.373480	1.664134	0.416200
4	1.698893	0.387720	1.586307	0.430600
5	1.661032	0.402740	1.590202	0.441600
6	1.642856	0.409180	1.555344	0.446600
7	1.629660	0.412680	1.566098	0.440300
8	1.608531	0.422280	1.546301	0.448700
9	1.596328	0.424120	1.519128	0.452100
10	1.580395	0.432180	1.518616	0.462100
11	1.571063	0.433480	1.513398	0.465800
12	1.561204	0.439100	1.517361	0.457900
13	1.555809	0.443540	1.526697	0.458500
14	1.539434	0.447940	1.503418	0.473300
15	1.532474	0.448080	1.498910	0.468000
16	1.521597	0.454180	1.497924	0.466000
17	1.514372	0.457560	1.483352	0.477200
18	1.512716	0.457340	1.476372	0.475600
19	1.501470	0.462100	1.469090	0.481300
20	1.502188	0.463400	1.491050	0.469800
21	1.486234	0.466700	1.481476	0.473800
22	1.488130	0.463980	1.453116	0.483100
23	1.476302	0.470660	1.436542	0.490200
24	1.471386	0.472420	1.480668	0.470600
25	1.466681	0.474680	1.457192	0.486700
26	1.456619	0.476540	1.454406	0.488800
27	1.457399	0.476460	1.449867	0.492700
28	1.454962	0.476880	1.428703	0.492100
29	1.445218	0.480200	1.442414	0.487100
