epoch	loss	acc	val_loss	val_acc
0	2.074831	0.246040	1.812347	0.351000
1	1.781706	0.357420	1.712765	0.371700
2	1.690219	0.392320	1.629507	0.421000
3	1.624730	0.419040	1.566412	0.440600
4	1.585152	0.432620	1.528362	0.458300
5	1.550604	0.443420	1.501079	0.465900
6	1.515340	0.458340	1.467915	0.476100
7	1.488087	0.469260	1.452716	0.483800
8	1.474733	0.473080	1.434793	0.490500
9	1.453078	0.478960	1.407329	0.495600
10	1.430003	0.491280	1.403805	0.496200
11	1.416583	0.492280	1.404621	0.495900
12	1.400005	0.498380	1.388551	0.499500
13	1.383092	0.506100	1.376591	0.508500
14	1.362365	0.513180	1.364148	0.511600
15	1.346306	0.515100	1.368183	0.510100
16	1.334532	0.524600	1.340058	0.520800
17	1.326660	0.525700	1.345765	0.518100
18	1.311729	0.532220	1.345754	0.514700
19	1.303703	0.532420	1.337362	0.519600
20	1.284492	0.542980	1.325833	0.529900
21	1.272175	0.548300	1.314507	0.535900
22	1.263416	0.547420	1.314624	0.527600
23	1.247100	0.555700	1.307954	0.532700
24	1.246865	0.555700	1.304990	0.530700
25	1.234926	0.559360	1.303990	0.530900
26	1.223361	0.564840	1.291474	0.538500
27	1.218788	0.562740	1.288192	0.539300
28	1.198967	0.569040	1.286591	0.539200
29	1.197028	0.573240	1.272801	0.547300
