epoch	loss	acc	val_loss	val_acc
144	0.735187	0.735760	1.427251	0.548400
145	0.737222	0.733840	1.470531	0.547000
146	0.724537	0.737200	1.444131	0.552200
147	0.720493	0.741200	1.454640	0.548600
148	0.725967	0.739260	1.439655	0.550400
149	0.717960	0.741100	1.450515	0.551000
150	0.712133	0.742100	1.470713	0.542700
151	0.711665	0.743940	1.458540	0.546000
152	0.715075	0.742060	1.458020	0.544900
153	0.706658	0.745740	1.474305	0.546700
154	0.701135	0.748140	1.445585	0.547700
155	0.710293	0.744520	1.485013	0.545900
156	0.698855	0.748580	1.492116	0.544700
157	0.698293	0.748580	1.473101	0.541500
158	0.686301	0.750940	1.475452	0.551500
159	0.682627	0.753000	1.498193	0.549800
160	0.683944	0.751860	1.452518	0.549200
161	0.677982	0.756760	1.490831	0.547500
162	0.678328	0.756620	1.500489	0.548500
163	0.679594	0.755180	1.496280	0.547600
164	0.665284	0.758440	1.504443	0.543800
165	0.673633	0.757020	1.489185	0.548000
166	0.678062	0.756100	1.484938	0.549000
167	0.658906	0.761380	1.516475	0.541800
168	0.667934	0.760040	1.516796	0.547500
169	0.667986	0.761240	1.519421	0.542200
170	0.652181	0.767060	1.541668	0.547900
171	0.656374	0.762980	1.555293	0.546800
172	0.653400	0.763680	1.522310	0.540700
173	0.642988	0.768300	1.539947	0.545500
174	0.653807	0.764200	1.509409	0.552300
175	0.641677	0.768680	1.533887	0.549400
176	0.645552	0.766900	1.506459	0.551800
177	0.631404	0.773940	1.546292	0.549800
178	0.636848	0.771960	1.523849	0.545800
179	0.630878	0.773120	1.532989	0.545500
180	0.632548	0.770940	1.553097	0.541600
181	0.632707	0.772780	1.550634	0.552700
182	0.628460	0.773260	1.568294	0.544900
183	0.627301	0.773240	1.522898	0.547100
184	0.623684	0.774640	1.532039	0.547300
185	0.619708	0.777620	1.570518	0.552100
186	0.623011	0.775260	1.558645	0.554400
187	0.620153	0.777000	1.543943	0.554800
188	0.607053	0.783320	1.579880	0.548600
189	0.613120	0.777820	1.543981	0.549400
190	0.610559	0.782480	1.560265	0.549700
191	0.609759	0.780480	1.567378	0.546600
192	0.599929	0.784120	1.562237	0.547400
193	0.591704	0.785560	1.554581	0.548700
194	0.604851	0.784020	1.586880	0.547200
195	0.599140	0.783740	1.590806	0.546700
196	0.596638	0.785740	1.593395	0.546900
197	0.585556	0.790840	1.592317	0.543600
198	0.583095	0.789380	1.557418	0.550500
199	0.589073	0.789300	1.587427	0.549100
200	0.585556	0.787840	1.579308	0.546600
201	0.584902	0.788580	1.597686	0.544700
202	0.587783	0.790360	1.593742	0.545500
203	0.578437	0.793020	1.569980	0.547500
204	0.579407	0.793220	1.625644	0.542200
205	0.575072	0.791940	1.603476	0.546100
206	0.576434	0.792080	1.585264	0.549800
207	0.574691	0.792760	1.617572	0.543800
208	0.570610	0.795820	1.607316	0.546500
209	0.560479	0.798940	1.642655	0.539700
210	0.570427	0.795640	1.598239	0.538400
211	0.564557	0.795300	1.649729	0.547900
212	0.549271	0.802440	1.623151	0.549100
213	0.561317	0.798120	1.620682	0.547800
214	0.554235	0.799620	1.629603	0.548500
215	0.547796	0.802660	1.634587	0.540400
216	0.562695	0.797680	1.623893	0.543000
217	0.553125	0.800480	1.627687	0.547800
218	0.542630	0.805360	1.650419	0.548600
219	0.549907	0.801120	1.627381	0.538800
220	0.555303	0.803760	1.599436	0.545700
221	0.550463	0.800100	1.621989	0.548500
222	0.537828	0.806900	1.633058	0.546900
223	0.554347	0.799760	1.639107	0.547000
224	0.546082	0.802860	1.641276	0.544300
225	0.538500	0.804900	1.658058	0.539200
226	0.540864	0.806960	1.664490	0.549900
227	0.540491	0.804380	1.657232	0.543200
228	0.529116	0.808940	1.641953	0.548000
229	0.533148	0.809680	1.668737	0.548500
230	0.527839	0.810340	1.680700	0.543300
231	0.537455	0.807380	1.642602	0.539800
232	0.526621	0.809280	1.644049	0.545900
233	0.528233	0.809100	1.681809	0.537600
234	0.522729	0.810480	1.664546	0.552000
235	0.525440	0.811940	1.694401	0.546100
236	0.521083	0.812200	1.691597	0.550500
237	0.519554	0.814560	1.684991	0.541000
238	0.517757	0.812860	1.654912	0.545900
239	0.517929	0.813720	1.663893	0.547600
240	0.509462	0.817700	1.689448	0.547000
241	0.506168	0.817820	1.702259	0.543700
242	0.518903	0.813240	1.666795	0.542700
243	0.503676	0.818220	1.680071	0.540100
244	0.514977	0.815680	1.684477	0.545000
245	0.512953	0.816500	1.676155	0.549800
