epoch	loss	acc	val_loss	val_acc
0	1.938874	0.296100	1.702218	0.387800
1	1.723358	0.377520	1.624619	0.415600
2	1.641849	0.407700	1.559173	0.440900
3	1.596690	0.423960	1.527099	0.456300
4	1.558880	0.440000	1.497353	0.464200
5	1.530970	0.449240	1.470207	0.471500
6	1.499082	0.462060	1.471906	0.472800
7	1.483374	0.468240	1.471798	0.478100
8	1.459988	0.475300	1.424652	0.493000
9	1.445399	0.480500	1.460556	0.480900
10	1.426408	0.490020	1.410294	0.497300
11	1.415919	0.491440	1.393020	0.500000
12	1.396630	0.499660	1.381614	0.507900
13	1.379217	0.505480	1.380036	0.505900
14	1.366551	0.509420	1.360149	0.521300
15	1.348293	0.516900	1.364040	0.512600
16	1.338201	0.523800	1.371351	0.510600
17	1.327858	0.525260	1.350859	0.516300
18	1.315251	0.527960	1.332241	0.528200
19	1.304208	0.532840	1.327189	0.529100
20	1.291924	0.537580	1.325597	0.526700
21	1.277407	0.542220	1.308713	0.537100
22	1.262037	0.549160	1.308162	0.531900
23	1.262047	0.547900	1.300116	0.538100
24	1.242876	0.554620	1.314593	0.528300
25	1.243159	0.555740	1.306873	0.530900
26	1.234251	0.560260	1.293629	0.537400
27	1.216796	0.563840	1.324529	0.523500
28	1.217369	0.564380	1.273120	0.548400
29	1.203366	0.570100	1.282822	0.540700
