epoch	loss	acc	val_loss	val_acc
0	2.221980	0.202980	1.897374	0.315200
1	1.867401	0.326480	1.754546	0.375200
2	1.742775	0.374080	1.660437	0.408000
3	1.678137	0.399960	1.611595	0.420300
4	1.624436	0.420400	1.584863	0.438600
5	1.588214	0.435100	1.548366	0.451200
6	1.559449	0.443920	1.503321	0.466300
7	1.538723	0.449360	1.514489	0.464600
8	1.504002	0.465060	1.466398	0.477900
9	1.492771	0.467940	1.457886	0.482700
10	1.467502	0.473760	1.470074	0.477200
11	1.442520	0.485380	1.421556	0.492000
12	1.426889	0.492380	1.405170	0.503100
13	1.400194	0.500320	1.405179	0.501500
14	1.398572	0.500980	1.393918	0.508400
15	1.376867	0.511380	1.378755	0.509000
16	1.367763	0.511440	1.370797	0.510100
17	1.362039	0.515600	1.354724	0.517700
18	1.347122	0.519440	1.351052	0.517200
19	1.333442	0.520940	1.357792	0.517700
20	1.328717	0.526560	1.361014	0.511800
21	1.315084	0.529020	1.347122	0.517100
22	1.294376	0.537560	1.349645	0.519000
23	1.285559	0.541760	1.318698	0.531600
24	1.282614	0.541540	1.308379	0.535300
25	1.264573	0.548680	1.308387	0.534300
26	1.262308	0.546500	1.317024	0.531300
27	1.249336	0.552680	1.311085	0.530300
28	1.243276	0.555260	1.317770	0.523900
29	1.233234	0.557260	1.311221	0.527700
