epoch	loss	acc	val_loss	val_acc
0	2.331921	0.103480	2.304286	0.100000
1	2.303618	0.100040	2.302964	0.100000
2	2.303071	0.096780	2.302648	0.100000
3	2.302868	0.097100	2.302618	0.100000
4	2.302817	0.098480	2.302626	0.100000
5	2.302774	0.097760	2.302600	0.100000
6	2.302726	0.099000	2.302616	0.100000
7	2.302731	0.098120	2.302606	0.100000
8	2.302713	0.097540	2.302608	0.100000
9	2.302705	0.097680	2.302854	0.100000
10	2.302759	0.097260	2.302596	0.100000
11	2.302714	0.096060	2.302611	0.100000
12	2.302691	0.097720	2.302595	0.100000
13	2.302701	0.098560	2.302592	0.100000
14	2.302731	0.098340	2.302594	0.100000
15	2.302701	0.097260	2.302589	0.100000
16	2.302718	0.096520	2.302595	0.100000
17	2.302680	0.098640	2.302607	0.100000
18	2.302943	0.098680	2.302655	0.100000
19	2.302812	0.099740	2.302720	0.100000
20	2.302869	0.098340	2.302651	0.100000
21	2.302792	0.097940	2.302610	0.100000
22	2.302795	0.097480	2.302627	0.100000
23	2.302756	0.098460	2.302679	0.100000
24	2.302806	0.098580	2.302652	0.100000
25	2.302785	0.097300	2.302634	0.100000
26	2.302917	0.096080	2.302605	0.100000
27	2.302751	0.099520	2.302628	0.100000
28	2.302752	0.100280	2.302639	0.100000
29	2.302760	0.099480	2.302685	0.100000
